rank,type_key,ifc_class,instances,discipline,tier,proposed_code,proposed_code_label,evidence_sibling_type,evidence_sibling_instances,sibling_coded_instances_in_class,sibling_distinct_codes_in_class,join_key_ambiguous
320,M_Ladder Reducer:Standard,IfcCableCarrierFitting,1,ELE,derived:ai,,,,,0,0,
321,M_Lighting and Appliance Panelboard - 208V MLO:LL-3,IfcBuildingElementProxy,1,ELE,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
322,M_Lighting and Appliance Panelboard - 208V MLO:MCB-2,IfcBuildingElementProxy,1,ELE,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
323,AirBox Left:BottomDuct Width,IfcBuildingElementProxy,1,MECH,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
324,AirBox Right:BottomDuct Width,IfcBuildingElementProxy,1,MECH,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
325,M_Rectangular Transition - Angle:60 Degree,IfcDuctFitting,1,MECH,derived:ai,,,,,0,0,
326,Cap - Butt Welded - CS:Standard,IfcPipeFitting,1,MECH,derived:sibling,D2090800,Piping & Fittings,Victaulic-Grooved Coupling OGS-AGS:Standard,752,1439,1,no
327,Air Separator with Strainer - Inline Tangential - 80-500 mm - Flanged:200 mm,IfcValve,1,MECH,derived:sibling,D4090,Other Fire Protection Systems,Victaulic_FireLock NXT Deluge Valve_Series 769_2:Victaulic_FireLock NXT Deluge Valve_Series 769_2,2,4,1,no
328,Globe Valve - 50-450 mm - Flanged:250 mm,IfcValve,1,MECH,derived:sibling,D4090,Other Fire Protection Systems,Victaulic_FireLock NXT Deluge Valve_Series 769_2:Victaulic_FireLock NXT Deluge Valve_Series 769_2,2,4,1,no
329,Commissioning Station - Straight - 65-300 mm - Grooved:250 mm,IfcValve,1,MECH,derived:sibling,D4090,Other Fire Protection Systems,Victaulic_FireLock NXT Deluge Valve_Series 769_2:Victaulic_FireLock NXT Deluge Valve_Series 769_2,2,4,1,no
330,Flange - Blind - Steel - PN 16:Standard,IfcPipeFitting,1,MECH,derived:sibling,D2090800,Piping & Fittings,Victaulic-Grooved Coupling OGS-AGS:Standard,752,1439,1,no
331,"Utility Switchboard:36""x26.25""",IfcBuildingElementProxy,1,FIRE,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
332,Fire Alarm Terminal Cabinet:Fire Alarm Terminal Cabinet,IfcDistributionControlElement,1,FIRE,derived:ai,,,,,0,0,
333,M_Fire Alarm Control Panel:FA-1,IfcBuildingElementProxy,1,FIRE,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
334,M_Fire Alarm Control Panel:FA-2,IfcBuildingElementProxy,1,FIRE,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
335,M_Fire Alarm Control Panel:FA-3,IfcBuildingElementProxy,1,FIRE,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
336,M_Fire Alarm Control Panel:FA-4,IfcBuildingElementProxy,1,FIRE,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
337,M_Fire Alarm Control Panel:FA-5,IfcBuildingElementProxy,1,FIRE,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
338,"Ball Valve - 2-6 Inch:1""",IfcValve,1,SPR,derived:sibling,D4090,Other Fire Protection Systems,Victaulic_FireLock NXT Deluge Valve_Series 769_2:Victaulic_FireLock NXT Deluge Valve_Series 769_2,2,4,1,no
339,Elbow - Generic:Standard,IfcPipeFitting,1,SPR,derived:sibling,D2090800,Piping & Fittings,Victaulic-Grooved Coupling OGS-AGS:Standard,752,1439,1,no
340,Bend - PVC - Sch 40 - DWV:Standard,IfcPipeFitting,1,SPR,derived:sibling,D2090800,Piping & Fittings,Victaulic-Grooved Coupling OGS-AGS:Standard,752,1439,1,no
341,M_Tee Reducing - Threaded - MI - Class 150:Standard,IfcPipeFitting,1,SPR,derived:sibling,D2090800,Piping & Fittings,Victaulic-Grooved Coupling OGS-AGS:Standard,752,1439,1,no
